scene_order	scene_id	phase	scene_title	record_order	id	english
6	early_ilpa_rumors	main_story	Early Ilpa rumors	2	195:$5877	Mekerere: He used to be a good man...<page><box>
6	early_ilpa_rumors	main_story	Early Ilpa rumors	3	195:$5893	Wanda: It was after the Lord changed.<page><box>Wanda: That's when monsters began moving into the<br>castle...<page><box><delay:3C>Rai: You don't think the Lord is behind the monsters...?<page><box>
6	early_ilpa_rumors	main_story	Early Ilpa rumors	4	195:$58E9	Mekerere: There's even a rumor that the Princess is summoning the monsters.<page><box>Mekerere: But can that really be true?<page>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	1	195:$595C	Pekeji: Bro?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	2	195:$5968	Pekeji: Bro! It really is you! What are you doing here?!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	3	195:$5988	Pekeji: Let's not stand around talking. Come grab a bite with me.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	4	195:$59B2	???: Here you go. Five more servings.<page><box>???: You sure can eat, same as ever.<page><box>Pekeji: Heh heh... I need to build up my strength, or I'll never get any work done.<page><box>???: Work...?<page><br>All you ever do is hang around this restaurant.<page><box>Pekeji: I'm about to start!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	5	195:$5A52	Pekeji: Oh, Bro. Let me introduce you.<page><br>This is Sachi.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	6	195:$5A7A	Pekeji: She's the<hspace:04>restaurant's star waitress. Heh heh... Cute, huh?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	7	195:$5A9F	Pekeji: This is my bro.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	8	195:$5AB1	Pekeji: And this skunk is Koppa.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	9	195:$5ACA	Koppa: I'm not a skunk! I'm a weasel!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	10	195:$5AE7	Sachi: Aww, you're cute.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	11	195:$5AF9	Sachi: I'm Sachi.<page><br>I help my mom here.<page><br>Nice to meet you.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	12	195:$5B2F	Sachi: Well, I should get back to work.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	13	195:$5B4A	Sachi: You two take your<br>time.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	14	195:$5B63	Pekeji: Still, I never expected to find you in this town, Bro...<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	15	195:$5B85	Pekeji: But man, Bro... You always treat me like dirt!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	16	195:$5BA8	Pekeji: You always leave me behind and run off<br>somewhere!<page><box><delay:1E>Koppa: Tch. You're the one who can't keep up!<page><box>Koppa: 'Bro! I'm hungry!' That's all you ever say.<page><box>Koppa: So what brought you here, Pekeji?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	17	195:$5C2B	Pekeji: Heh heh... The truth is...<page><box>Pekeji: There's a rumor about some treasure in this town.<page><box><delay:1E>Koppa: Treasure?<page><box><delay:1E>Pekeji: Yeah.<page><br>You saw the Magic Castle on your way here, right, Bro?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	18	195:$5CA0	Pekeji: There are some ruins beneath that Magic Castle.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	19	195:$5CC0	Pekeji: They say an incredible treasure lies buried deep underground.<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	20	195:$5CF0	Pekeji: Everyone's too scared to go near the place now.<page><box>Pekeji: But you and me, Bro? We could waltz in and swipe that treasure!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	21	195:$5D43	Pekeji: Well?<page> Tempting,<br>right?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	22	195:$5D58	Pekeji: Don't look at me like that... Come on, Bro. Please?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	23	195:$5D7B	Koppa: Sounds fishy.<page><br>How do we even get in?<page><box><delay:1E>Pekeji: Through the Magic Castle.<page><box><delay:1E>Koppa: Huh?<page> Back in there?!<page><br>You've gotta be kidding!<page><box><delay:1E>Koppa: We were lucky someone helped us escape...<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	24	195:$5DFE	???: Hurry... Run...<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	25	195:$5E0E	Koppa: We just escaped from that place!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	26	195:$5E2D	Koppa: Who'd go back there on purpose? Right, <name>...?
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	27	195:$5E49	Koppa: Huh?<page><box><delay:1E>Pekeji: Bro?!<page><br>You're not actually...?<page><box><delay:1E>Koppa: You're serious?!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	28	195:$5E7C	Pekeji: You're up for it, Bro!<page><br>I knew it! That's my bro!<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	29	195:$5EA4	Koppa: Tch...<page><br>Pekeji, you did some scouting, right?<page><box>
7	pekeji_reunion	main_story	Pekeji reunion and treasure plan	30	195:$5ECC	Pekeji: There's a passage behind the Magic Castle.<page><br>It leads to the treasure.<page><box>Koppa: What's the holdup?<page><box>Pekeji: The padlock on the gate.<page><box>Pekeji: I haven't been able to get it off.<page><box>Koppa: When do we go?<page><box>Pekeji: Tonight, at the Hour of Bufu.<page><box><delay:3C>Koppa: Fine. Let's do this!<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	1	195:$5F91	Pekeji: Huh?<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	2	195:$5F9C	Koppa: What's wrong?<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	3	195:$5FA9	Pekeji: The padlock's broken!<page><br>But it was so sturdy...<page><br>Who could have done this?<page><box>Koppa: Maybe it was old and broke on its own.<page><box>Koppa: Either way, we got lucky. Let's get inside.<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	4	195:$6028	???: <name>?!...<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	5	195:$6035	Pekeji: ...Just as I thought.<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	6	195:$6044	Koppa: What's wrong, Pekeji?<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	7	195:$6059	Pekeji: Just as I thought. This is a Mystery Dungeon.<page><box>Pekeji: This place is crawling with monsters.<page><box>Pekeji: If you collapse, they'll take everything you've got and throw you out...<page><box>Pekeji: Let's be careful, Bro!<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	8	195:$60C4	Pekeji: Waaah!<page><box>
8	ancient_ruins_entry	main_story	Ancient Ruins entry and Pekeji separation	9	195:$60D5	Pekeji: Ow, ow, ow...<page><box>Koppa: Hey! Are you okay?<page><box>Pekeji: Y-Yeah. I'm fine.<page><br>My leg's just a little numb...<br>Ow... What lousy timing.<page><box>Koppa: What do we do now?<page><box>Pekeji: No choice, Bro. You two will have to go on without me.<page><box>Pekeji: I'll catch up once I've rested a little...<page><box>Koppa: We'll meet at the treasure, then. Got it.<page><box>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	1	195:$61B1	Sachi: Are you okay...?<page>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	2	195:$61C1	Koppa: Oh! You're awake!<page><box>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	3	195:$61D1	Sachi: You really scared me.<page><box>Sachi: You were both lying unconscious at the town entrance.<page><box>Koppa: Looks like some townspeople carried us here.<page><box>Koppa: Actually, I just woke up myself, so I only found out a minute ago...<page><box>Sachi: Well, you both seem okay, at least...<page><box>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	4	195:$6274	Sachi: What exactly were you two doing?<page><box>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	5	195:$6290	Koppa: Huh?<page><br>Uh, well...<page><box>Koppa: Um... What was it?<page><br>M-Maybe five-in-a-row?<page><box>Sachi: You passed out playing five-in-a-row in a desert?<page><br>That's weird.<page><box>Sachi: And where's Pekeji?<page><br>Wasn't he with you?<page><box>Koppa: Huh? Pekeji?<page><box>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	6	195:$631B	Koppa: ...O-Oh, you're right.<br>W-Where could he have gone?<page><box>Koppa: Thanks! Bye!<br><name>! Come with me!
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	7	195:$635F	Sachi: Something's fishy...<page>
9	return_to_ilpa	main_story	Recovery after the Ancient Ruins	8	195:$6370	Koppa: Pant, pant...<br>Man, that scared me!<page><box>Koppa: She caught me off guard, so I blurted out a<br>lie.<page><box>Koppa: But it looks like Pekeji is still under the Magic Castle.<page><box>Koppa: Let's wait for the right time, then head back under the Magic Castle.<page><box>
10	night_departure	main_story	Night departure for the ruins	1	195:$640C	Koppa: <name>, wait a<br>sec.<page><box>Koppa: If we leave now, we'll draw attention.<page><box>Koppa: Let's wait until night, then go.<page><box>
10	night_departure	main_story	Night departure for the ruins	2	195:$645A	Koppa: No one's around now.<br>Let's go.<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	1	195:$64A3	Pekeji: Brooo!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	2	195:$64B3	Pekeji: Huff, huff...<page><br>You just got here too, Bro?<br>Perfect timing.<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	3	195:$64DD	Pekeji: This is it.<br>No doubt about it.<page><box>Pekeji: This is where the<br>treasure is, Bro.<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	4	195:$6509	Pekeji: Is that the treasure...?<page> Maybe?<page><box>Koppa: It's just a creepy statue sitting there all alone...<page><box><delay:1E>Pekeji: But look around.<br>That statue's the only thing here...<page><box>Pekeji: It has to be the treasure.<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	5	195:$658A	???: Don't take it...<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	6	195:$6598	Koppa: <name>! That girl!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	7	195:$65A8	Pekeji: ...<page><br>Forget it. Just take it!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	8	195:$65BE	Pekeji: W-Whoa! I-It's<br>shaking!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	9	195:$65D2	Koppa: Hurry! Get outside!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	10	195:$65E2	Pekeji: Yes! There's the exit!
11	evil_god_statue	main_story	Discovery of the Evil God Statue	11	195:$65F5	<box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	12	195:$65F7	Pekeji: Aagh!
11	evil_god_statue	main_story	Discovery of the Evil God Statue	13	195:$6601	Hooded Man: Heh heh...<delay:1E><br>So this is the Evil God Statue.<page><box>Hooded Man: 'When the 99th visitor arrives, the seal shall be broken...'<page><box>Hooded Man: So the legend was true.<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	14	195:$6674	Pekeji: Y-You?!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	15	195:$6684	Hooded Man: Well done.<page><br>I have no more use for you.<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	16	195:$66A9	Pekeji: Y-You tricked me!
11	evil_god_statue	main_story	Discovery of the Evil God Statue	17	195:$66BA	Pekeji: Ugh...<page><box><delay:1E>Hooded Man: Heh heh.<br>The Lord will be so pleased.<page><br>Ha ha ha ha ha!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	18	195:$6705	Koppa: <name:00>-<name>!<page> Pekeji!<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	19	195:$671A	Pekeji: Ugh...<page><box>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	20	195:$6728	Koppa: Pekeji!<page> Hang in there!<page>
11	evil_god_statue	main_story	Discovery of the Evil God Statue	21	195:$673C	<box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	1	195:$676A	Pekeji: Ugh...<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	2	195:$6777	Pekeji: Wh-What...?<page><box><delay:1E>Sachi: You were unconscious.<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	3	195:$679D	Sachi: And you two...<page><br>Just what did you do?<page><box><delay:1E>Koppa: That's what we'd like to know.<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	4	195:$67DF	Koppa: Hey, Pekeji!<page><box><delay:1E>Pekeji: ...<page> This is all his<br>fault.<page><box>Pekeji: He lured me in with talk of treasure, then betrayed me in the end.<page><box>Pekeji: That hooded guy...<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	5	195:$6854	Oro: A hooded man?<page><br>Could that have been<br>Zagan...?<page><box><delay:1E>Koppa: Zagan?<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	6	195:$688C	Sachi: He's the Lord's chief retainer.<page> But why would someone like him...?<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	7	195:$68BA	Nuwanko: Hey! Big trouble!!<page><box>Nuwanko: The desert...<page><br>It suddenly spread all the way around town!<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	8	195:$6904	Oro: Suddenly...?<page><br>Why?!<page><box><delay:1E>Wanda: No idea...<page><box>Wanda: But at this rate, before long even Ilpa will be swallowed by the desert...<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	9	195:$694F	Oro: All right! Let's go take a look!<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	10	195:$6961	Sachi: What's going on...?<page><br>The desert has never suddenly spread before...<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	11	195:$6996	Pekeji: C-Could taking that statue be what caused<br>this...?<page><box><delay:1E>Koppa: No way...<page><br>It must be a coincidence.<page><box><delay:1E>Pekeji: But that hooded guy...<page><br>Didn't he say something about 'the seal being broken'?<page><box>Pekeji: And I saw that... before I took the statue...<page>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	12	195:$6A3C	???: Don't take it...<page>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	13	195:$6A49	Pekeji: ...But I took it.<page><br>And then this happened...<page><box><delay:1E>Pekeji: We never should've taken that thing!!<page><box>Pekeji: We have to get it back fast, or this town will be swallowed by the desert too!!<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	14	195:$6AC0	Koppa: <name>!<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	15	195:$6ACC	Sachi: Zagan is inside the Magic Castle...<page><br>In the eastern keep.<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	16	195:$6AF4	Pekeji: B-Bro! I'm coming too!
12	statue_aftermath	main_story	Statue aftermath in Ilpa	17	195:$6B07	Pekeji: Ugh... It hurts...<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	18	195:$6B19	Sachi: No, you can't.<page><br>You haven't fully recovered yet...<page><box>Sachi: Besides, if you come, things will probably just get complicated again.<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	19	195:$6B6D	Pekeji: Ugh...<br>Sorry, Bro.<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	20	195:$6B86	Sachi: <name>.
12	statue_aftermath	main_story	Statue aftermath in Ilpa	21	195:$6B90	Sachi: Catch!<page><box>
12	statue_aftermath	main_story	Statue aftermath in Ilpa	22	195:$6B9B	Sachi: I think it'll come in handy...<page> Good luck!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	1	195:$6BD2	???: Big trouble!!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	2	195:$6BE0	Nuwanko: Big trouble!!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	3	195:$6BF1	Mekerere: What happened?<page><br>Weren't you checking the desert with Oro?<page><box>Shizu: Did something else happen to the desert?<page><box>Nuwanko: It's not the desert!<page><br>Something's wrong with the Magic Castle!<page><box>Nuwanko: Everyone, come to the dunes!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	4	195:$6C73	Mekerere: All right!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	5	195:$6C7F	Koppa: <name>!<br>Let's go see for ourselves!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	6	195:$6C9B	Wanda: Hey!<br>Look at the Magic Castle!!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	7	195:$6CB4	Nuwanko: What in the world is happening?!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	8	195:$6CD1	Wanda: Is this connected to the spreading desert?!<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	9	195:$6CF2	Koppa: <name>...<page><box>Koppa: It really was the Evil God Statue that caused<br>this...<page><box>
13	ilpa_panic	main_story	Ilpa panic after the ruins collapse	10	195:$6D1E	Koppa: Let's go to the Magic Castle!<page><box>Koppa: We have to get the Evil God Statue back!<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	1	195:$6D57	Lord: At last, I have it!<br>The Evil God Statue!<page><br>Fine work, Zagan!<page><box>Zagan: Yes, my Lord!<page><box>Lord: How is the Princess?<page><box>Zagan: No change in her condition.<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	2	195:$6DB3	Lord: Intruders must never be allowed to escape.<page><box>Zagan: Understood.<br>If you'll excuse me.<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	3	195:$6DEC	Attendant: My Lord...<br>Just what is this statue...?<page><box>Lord: It will make my dream come true...<page><box>Attendant: Your dream...?<page><box>Lord: Heh heh... All that remains is to await the night of the full moon.<page><box>Lord: The day of resurrection draws near...<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	4	195:$6E7D	???: ...That is...<page><br>Yes... I understand...<page><box>Princess: Then...<page><box>???: Shh... Someone's coming.<page><br>We will continue later...<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	5	195:$6EC1	Princess: Who is it?<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	6	195:$6ECB	Zagan: It is Zagan, Princess.<page><box>Princess: Enter...<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	7	195:$6EF3	Princess: What is it?<page><box>Zagan: The Lord summons you.<page><box>Princess: Mother...?<page><box>Zagan: Yes.<page> She asks that you come shortly...<page><box>Princess: Understood.<br>You may go.<page><box>Zagan: ...Princess Ateka.<page><box>Ateka: What is it?<page><box>Zagan: I hear it was you who allowed those people to escape...<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	8	195:$6FA8	Ateka: That is none of your concern.<page><box>Zagan: Oh...?<page><box>Zagan: By the way, how has the Lord been feeling<br>lately?<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	9	195:$6FF2	Ateka: Y-You...<page><box>Ateka: You and the others should know that better than I do!<page><box>Zagan: Heh heh... The Lord's health is most precious...<page><box>Zagan: Be especially careful in your actions.<page><br>Farewell.<page><box>
14	lord_receives_statue	main_story	The Lord receives the Evil God Statue	10	195:$705F	Ateka: Mother...<delay:78><box>
15	sachi_check_in	main_story	Sachi checks on Shiren	1	195:$7075	Sachi: Are you okay?<page><box>
15	sachi_check_in	main_story	Sachi checks on Shiren	2	195:$7083	Sachi: <name>! Here, take this!<page><box>
15	sachi_check_in	main_story	Sachi checks on Shiren	3	195:$7096	Sachi: I know this is hard, but keep going!<page><box>
16	advancing_desert	main_story	The desert advances toward Ilpa	1	195:$70C7	Koppa: Wait a second...<page><box>Koppa: It's getting hard to breathe...<page><br>I can't go any farther...<page><box>
16	advancing_desert	main_story	The desert advances toward Ilpa	2	195:$7106	Koppa: Pant, pant... Why now?<page><br>Why would I suddenly feel sick here...?<page><box>
